name,homepage_url, market , funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at
ZimpleMoney,http://www.zimplemoney.com, Software ,"600,000",operating,USA,CA,Anaheim,Costa Mesa,1,1/3/08,2008-01,2008-Q1,2008,12/29/11,12/29/11
Zimplistic,http://www.rotimatic.com, Consumer Electronics ,"3,500,000",operating,SGP,,Singapore,,2,6/1/08,2008-06,2008-Q2,2008,12/1/10,3/3/12
Zimride,http://zimride.com, Public Transportation ,"15,000,000",acquired,USA,CA,SF Bay Area,San Francisco,1,,,,,1/30/13,1/30/13
Zin.gl,http://zin.gl, Curated Web ,"1,100,000",closed,RUS,,Moscow,Moscow,3,2/1/11,2011-02,2011-Q1,2011,4/12/10,2/1/11
Zinc Ahead,http://www.zinc-ahead.com, Biotechnology , -   ,operating,GBR,,London,Oxford,1,3/1/02,2002-03,2002-Q1,2002,6/21/13,6/21/13
Zinc software,http://www.zensensor.com, Curated Web ,"833,170",closed,FRA,,Picardie,Irles,1,,,,,4/4/13,4/4/13
Zinch,http://www.zinch.com, Apps ,"5,486,842",acquired,USA,UT,Salt Lake City,Orem,3,2/1/07,2007-02,2007-Q1,2007,12/1/07,10/20/09
Zindigo,http://zindigo.com, Fashion ,"7,979,689",operating,USA,NY,New York City,New York,5,1/1/11,2011-01,2011-Q1,2011,3/21/12,8/14/14
Zing,http://www.zing-store.com, Facebook Applications , -   ,operating,ITA,,Roncade,Roncade,1,1/1/13,2013-01,2013-Q1,2013,7/1/13,7/1/13
Zing Systems,http://zing.net, Music ,"26,000,000",acquired,USA,CA,SF Bay Area,Mountain View,2,6/1/07,2007-06,2007-Q2,2007,12/1/06,1/1/07
Zingaya,http://www.zingaya.com, Messaging ,"1,150,000",,USA,CA,SF Bay Area,Palo Alto,1,6/1/10,2010-06,2010-Q2,2010,10/26/11,10/26/11
ZingCheckout,http://www.zingcheckout.com, Social Commerce , -   ,operating,USA,TX,Austin,Austin,1,10/1/10,2010-10,2010-Q4,2010,10/11/12,10/11/12
Zingdom Communications,, Enterprise Software ,"13,000,000",operating,USA,MA,Boston,Lexington,1,,,,,1/13/06,1/13/06
Zingfin,http://www.Zingfin.com, Personal Finance ,"15,000",operating,USA,TN,Nashville,Nashville,1,1/31/13,2013-01,2013-Q1,2013,5/1/13,5/1/13
Zingku,http://www.zingku.com, Curated Web ,"1,000,000",acquired,,,,,1,1/1/05,2005-01,2005-Q1,2005,6/8/06,6/8/06
Zinio,http://www.zinio.com, News ,"27,000,000",operating,USA,CA,SF Bay Area,San Francisco,2,,,,,9/12/05,11/23/11
Zinitix,http://www.zinitix.com, Semiconductors , -   ,operating,KOR,,Daejeon,Daejeon,1,1/1/00,2000-01,2000-Q1,2000,4/30/13,4/30/13
ZINK Imaging,http://www.zink.com, Hardware + Software ,"35,000,000",operating,USA,MA,Boston,Bedford,1,1/1/05,2005-01,2005-Q1,2005,12/6/11,12/6/11
Zinkia,http://www.zinkia.com, Brand Marketing , -   ,operating,ESP,,Madrid,Madrid,1,,,,,9/7/12,9/7/12
ZinkoTek,http://www.zinkotek.com, Curated Web ,"2,000,000",closed,USA,CA,SF Bay Area,San Rafael,1,4/1/07,2007-04,2007-Q2,2007,5/26/08,5/26/08
ZinMobi,http://zinmobi.com, Software ,"720,496",operating,IRL,,Dublin,Dublin,1,1/1/10,2010-01,2010-Q1,2010,3/4/14,3/4/14
zintin,http://www.zintin.com, Mobile , -   ,operating,USA,CA,SF Bay Area,Menlo Park,1,12/1/07,2007-12,2007-Q4,2007,4/1/08,4/1/08
Zinwave,http://www.zinwave.com, Mobile ,"21,331,144",acquired,GBR,,London,Cambridge,3,1/1/05,2005-01,2005-Q1,2005,8/3/05,3/1/10
ZIO Studios,http://zio.co, Games ,"1,300,000",operating,COL,,Bogota,Bogotö,1,,,,,2/24/11,2/24/11
Zions Bancorporation,http://zionsbancorporation.com, Finance ,"87,900,000",operating,USA,UT,Salt Lake City,Salt Lake City,1,1873-01-01,,,,9/13/13,9/13/13
ZIOPHARM Oncology,http://ziopharm.com, Biotechnology ,"5,059,527",operating,USA,NY,New York City,New York,1,1/1/05,2005-01,2005-Q1,2005,9/28/09,9/28/09
Zipalong,http://www.zipalong.com, Travel , -   ,operating,CAN,ON,Toronto,Mississauga,1,,,,,1/1/09,1/1/09
Zipano,http://www.zipano.com, Security ,"25,000",closed,USA,PA,Pittsburgh,Pittsburgh,1,6/1/09,2009-06,2009-Q2,2009,7/1/09,7/1/09
Zipari,http://zipari.com, Software , -   ,operating,USA,NY,New York City,Brooklyn,1,1/1/14,2014-01,2014-Q1,2014,9/18/14,9/18/14
Zipcar,http://www.zipcar.com, Public Transportation ,"60,704,370",acquired,USA,MA,Boston,Boston,4,10/31/00,2000-10,2000-Q4,2000,12/20/02,12/15/10
zipcodemailer.com,http://www.zipcodemailer.com, Postal and Courier Services ,"15,000",closed,USA,AZ,Phoenix,Peoria,1,10/11/08,2008-10,2008-Q4,2008,9/10/08,9/10/08
Zipdial,http://www.zipdial.com, Mobile , -   ,operating,IND,,Bangalore,Bangalore City,3,3/1/10,2010-03,2010-Q1,2010,4/13/11,4/15/13
ZIPDIGS,http://zipdigs.com,,"50,000",operating,USA,WA,Seattle,Seattle,1,,,,,1/1/14,1/1/14
Zipfit,http://zipfit.me, E-Commerce ,"357,000",operating,USA,IL,Chicago,Chicago,1,1/1/12,2012-01,2012-Q1,2012,5/7/13,5/7/13
Zipidee,http://zipidee.com, E-Commerce , -   ,operating,JPN,,USA - Other,Usa,1,2/1/07,2007-02,2007-Q1,2007,10/14/07,10/14/07
Zipit Wireless,http://www.zipitwireless.com, Mobile ,"22,783,151",operating,USA,SC,Greenville - Spartanburg,Greenville,11,1/1/07,2007-01,2007-Q1,2007,5/31/07,8/5/14
Zipline Games,http://ziplinegames.com, Games ,"2,700,000",operating,USA,WA,Seattle,Seattle,3,1/1/10,2010-01,2010-Q1,2010,12/1/10,7/6/12
Zipline Medical,http://www.ziplinemedical.com, Health Care ,"10,300,000",operating,USA,CA,SF Bay Area,Campbell,3,1/1/07,2007-01,2007-Q1,2007,12/21/09,1/21/14
ZipList,http://www.ziplist.com, Cooking ,"4,500,000",acquired,USA,VA,"Washington, D.C.",Reston,2,1/1/08,2008-01,2008-Q1,2008,1/1/10,11/24/10
Ziplocal,http://www.ziplocal.com, Search ,"14,003,543",acquired,CAN,ON,Toronto,Toronto,2,1/1/06,2006-01,2006-Q1,2006,10/1/06,7/1/07
Ziploop,http://ziploop.com, Software ,"2,200,000",operating,USA,CA,SF Bay Area,Orinda,1,1/1/13,2013-01,2013-Q1,2013,3/18/14,3/18/14
Zipmark,http://www.zipmark.com, Billing ,"3,500,000",operating,USA,NY,New York City,New York,2,3/1/10,2010-03,2010-Q1,2010,12/13/11,8/14/13
ZipMatch,http://www.zipmatch.com, Travel ,"550,000",operating,,,,,2,12/1/12,2012-12,2012-Q4,2012,2/28/14,8/14/14
Zipments,http://www.zipments.com, Postal and Courier Services ,"2,250,000",operating,USA,NY,New York City,New York,2,1/1/10,2010-01,2010-Q1,2010,9/26/12,9/16/13
Zipnosis,http://zipnosis.com, Health Care ,"200,000",operating,USA,MN,Minneapolis,Saint Paul,1,,,,,3/22/10,3/22/10
Zipongo,http://www.zipongo.com, Health Care ,"3,528,000",operating,USA,CA,SF Bay Area,San Francisco,3,3/12/10,2010-03,2010-Q1,2010,7/25/12,10/1/12
Zippy.com.au Pty LTD,, Coupons ,"200,000",acquired,AUS,,Brisbane,Brisbane,1,,,,,2/1/13,2/1/13
ZipRecruiter,http://www.ziprecruiter.com, Social Recruiting ,"63,000,000",operating,USA,CA,Los Angeles,Santa Monica,1,3/1/10,2010-03,2010-Q1,2010,8/26/14,8/26/14
Zipscene,http://www.zipscene.com, Internet ,"3,750,000",operating,USA,OH,Cincinnati,Cincinnati,2,1/1/06,2006-01,2006-Q1,2006,1/1/11,11/20/13
Ziptask,http://www.ziptask.com, Freelancers ,"118,000",operating,USA,CA,Anaheim,Anaheim,2,11/1/11,2011-11,2011-Q4,2011,1/14/13,7/1/14
Ziptr,http://www.ziptr.com, Software ,"8,300,000",closed,USA,MA,Boston,Burlington,2,,,,,10/20/10,6/1/11
Ziptronix,http://www.ziptronix.com, Semiconductors ,"12,000,000",operating,USA,NC,Raleigh,Morrisville,4,1/1/00,2000-01,2000-Q1,2000,8/11/05,9/1/10
Zipwhip,http://www.zipwhip.com, Cloud Computing ,"3,100,000",operating,USA,WA,Seattle,Seattle,1,1/1/09,2009-01,2009-Q1,2009,4/1/11,4/1/11
ZipZap,http://www.zipzapinc.com, E-Commerce ,"2,700,000",operating,USA,CA,SF Bay Area,San Francisco,2,5/1/10,2010-05,2010-Q2,2010,5/1/10,5/17/14
Zipzoom,http://www.zipzoom.com/en/home2, E-Commerce ,"2,200,000",closed,CAN,ON,Toronto,Toronto,1,1/1/07,2007-01,2007-Q1,2007,2/11/11,2/11/11
Ziqitza Health Care,http://zhl.org.in, Healthcare Services ,"5,750,000",operating,IND,,Mumbai,Mumbai,2,3/11/05,2005-03,2005-Q1,2005,3/7/07,3/26/10
Zirtual,http://zirtual.com, Professional Services ,"2,000,000",operating,USA,CA,SF Bay Area,San Francisco,1,1/31/11,2011-01,2011-Q1,2011,1/14/13,1/14/13
ZIRX,http://zirx.com, Parking ,"6,400,000",operating,USA,CA,SF Bay Area,San Francisco,1,3/1/14,2014-03,2014-Q1,2014,9/5/14,9/5/14
Zite,http://zite.com, Publishing ,"2,000,000",acquired,USA,CA,SF Bay Area,San Francisco,1,3/9/11,2011-03,2011-Q1,2011,1/1/07,1/1/07
Zitra.com,http://www.zitra.com, Fashion , -   ,acquired,DEU,,Cologne,Cologne,1,1/1/12,2012-01,2012-Q1,2012,12/15/11,12/15/11
Ziva Software,http://www.zook.in, Mobile ,"1,700,000",closed,IND,,Bangalore,Bangalore,1,1/1/05,2005-01,2005-Q1,2005,3/14/07,3/14/07
Zivame.com,http://www.zivame.com, Internet ,"9,000,000",operating,IND,,Bangalore,Bangalore,2,5/1/11,2011-05,2011-Q2,2011,3/14/12,12/10/13
Zivity,http://zivity.com, Art ,"8,000,000",operating,USA,CA,SF Bay Area,San Francisco,2,1/1/07,2007-01,2007-Q1,2007,8/1/07,3/8/08
Zivix,http://www.zivix.net, Games ,"700,000",operating,USA,MN,Minneapolis,Minneapolis,1,,,,,2/27/14,2/27/14
Zixi,http://www.zixi.com, Enterprise Software ,"4,000,000",operating,USA,MA,Boston,Waltham,1,,,,,4/11/11,4/11/11
Zizerones,http://www.zizerones.com,,"271,028",operating,ESP,,Valencia,Valencia,2,,,,,1/12/14,6/17/14
Zjdg.cn,http://www.zjdg.cn, E-Commerce , -   ,operating,,,,,1,,,,,12/1/13,12/1/13
Zkatter,http://www.zkatter.com, Mobile Software Tools ,"1,500,000",operating,GBR,,London,London,1,7/8/08,2008-07,2008-Q3,2008,1/1/08,1/1/08
zkipster,http://zkipster.com,, -   ,operating,USA,NY,New York City,New York,1,,,,,2/12/14,2/12/14
zLense,http://zlense.com, Software ,"325,000",operating,HUN,,Budapest,Budapest,1,5/1/12,2012-05,2012-Q2,2012,5/1/12,5/1/12
zlien,http://www.zlien.com, Security ,"450,000",operating,USA,LA,New Orleans,New Orleans,1,1/1/08,2008-01,2008-Q1,2008,6/1/12,6/1/12
Zlio,http://zlio.com, E-Commerce ,"4,000,000",closed,FRA,,Paris,Paris,1,11/1/05,2005-11,2005-Q4,2005,7/1/07,7/1/07
Zmags,http://www.zmags.com, Publishing ,"20,849,997",operating,DNK,,Copenhagen,Copenhagen,6,12/1/06,2006-12,2006-Q4,2006,1/1/08,10/25/12
Zmanda,http://www.zmanda.com, Software ,"13,000,000",acquired,USA,CA,SF Bay Area,Sunnyvale,2,1/1/05,2005-01,2005-Q1,2005,1/1/05,5/22/07
ZMP,http://zmp.co.jp,, -   ,operating,JPN,,Tokyo,Tokyo,1,1/30/01,2001-01,2001-Q1,2001,5/7/14,5/7/14
Zmqnw.com.cn,http://www.zmqnw.com.cn, Mobile ,"164,744",operating,,,,,1,,,,,1/1/14,1/1/14
Znapshop,http://znapshop.com, Mobile Commerce ,"50,000",closed,,,,,1,4/18/11,2011-04,2011-Q2,2011,4/1/11,4/1/11
Znaptag,http://www.znaptag.com, Advertising ,"2,000,000",operating,SWE,,Stockholm,Stockholm,1,9/1/09,2009-09,2009-Q3,2009,9/1/09,9/1/09
Znode,http://www.znode.com, Software ,"1,700,000",acquired,USA,OH,"Columbus, Ohio",Columbus,1,,,,,10/2/08,10/2/08
ZocDoc,http://www.zocdoc.com, Health Care ,"97,940,002",operating,USA,NY,New York City,New York,5,9/18/07,2007-09,2007-Q3,2007,8/18/08,6/24/13
Zocere,http://zocere.com/, Biotechnology ,"100,000",,,,,,1,1/1/12,2012-01,2012-Q1,2012,9/25/13,9/25/13
ZOCKO,http://www.zocko.com, Sales and Marketing ,"200,000",operating,ESP,,Barcelona,Barcelona,1,1/1/12,2012-01,2012-Q1,2012,6/10/13,6/10/13
Zodio,http://www.zodio.com, Reviews and Recommendations ,"1,600,500",operating,THA,,Bangkok,Bangkok,2,8/1/11,2011-08,2011-Q3,2011,8/1/11,11/30/13
Zoe Center For Children,http://www.littleangles.com/, Education , -   ,operating,USA,NJ,Newark,Newark,1,1/1/10,2010-01,2010-Q1,2010,5/29/12,5/29/12
Zoe Majeste,http://www.zoemajeste.com, E-Commerce , -   ,operating,FRA,,Paris,Paris,2,3/5/13,2013-03,2013-Q1,2013,12/13/12,12/15/12
ZoeMob,http://www.zoemob.com, Mobile ,"800,000",operating,BRA,,Sao Paulo,S o Paulo,2,4/1/10,2010-04,2010-Q2,2010,4/1/11,12/1/12
Zoeticx,http://zoeticx.com, Medical ,"580,000",operating,USA,CA,SF Bay Area,San Jose,1,1/1/11,2011-01,2011-Q1,2011,3/26/12,3/26/12
Zogenix,http://www.zogenix.com, Health Care ,"167,062,156",operating,USA,CA,San Diego,San Diego,6,1/1/06,2006-01,2006-Q1,2006,8/28/06,7/13/10
ZOGOtennis,http://www.zogotennis.com, Private Social Networking ,"100,000",operating,USA,NY,New York City,New York,1,6/1/14,2014-06,2014-Q2,2014,1/1/14,1/1/14
zoidu,http://www.zoidu.com, Curated Web ,"48,600",acquired,CAN,ON,Ottawa,Ottawa,1,,,,,10/20/10,10/20/10
Zoji,http://www.zoji.com, Curated Web ,"1,500,000",closed,USA,WA,Seattle,Seattle,1,10/1/04,2004-10,2004-Q4,2004,10/1/07,10/1/07
Zokem,http://www.zokem.com, Analytics ,"2,388,400",acquired,FIN,,Helsinki,Espoo,1,1/1/08,2008-01,2008-Q1,2008,6/8/10,6/8/10
Zokos,http://zokos.com, Curated Web ,"210,000",operating,USA,NY,New York City,New York,1,1/1/11,2011-01,2011-Q1,2011,6/1/11,6/1/11
Zola,http://www.zola.com, E-Commerce ,"3,250,000",operating,USA,NY,New York City,New York,1,1/1/13,2013-01,2013-Q1,2013,11/5/13,11/5/13
Zola Books,http://www.zolabooks.com, E-Commerce ,"5,500,000",operating,USA,NY,New York City,New York,1,9/19/11,2011-09,2011-Q3,2011,10/2/13,10/2/13
Zolair Energy,http://www.zolair-energy.com, Rural Energy , -   ,operating,,,,,1,2/1/14,2014-02,2014-Q1,2014,4/1/14,4/1/14
ZolkC,http://www.zolkc.com, Mobile ,"638,550",operating,,,,,1,,,,,1/13/12,1/13/12
Zollo,http://zollo.co.il, Curated Web ,"900,000",operating,ISR,,ISR - Other,,1,1/1/12,2012-01,2012-Q1,2012,7/1/13,7/1/13
Zolo Technologies,http://www.zolotech.com, Manufacturing ,"19,000,008",operating,USA,CO,Denver,Boulder,3,1/1/99,1999-01,1999-Q1,1999,7/15/05,9/25/09
Zolpy,http://zolpy.com, E-Commerce , -   ,operating,USA,CA,SF Bay Area,San Jose,1,1/1/13,2013-01,2013-Q1,2013,1/1/13,1/1/13
Zolvers,http://www.zolvers.com, Curated Web ,"65,000",operating,CHL,,Santiago,Santiago,2,9/19/13,2013-09,2013-Q3,2013,8/1/13,6/1/14
Zomato,http://www.zomato.com, Restaurants ,"53,800,000",operating,IND,,New Delhi,Gurgaon,5,7/10/08,2008-07,2008-Q3,2008,8/1/10,11/6/13
Zomazz,http://www.zomazz.com, Curated Web ,"2,040,342",operating,USA,CA,Los Angeles,Monterey Park,1,1/1/10,2010-01,2010-Q1,2010,6/20/12,6/20/12
ZON Networks,http://www.hola.org, Software ,"7,000,000",operating,ISR,,Netanya,Netanya,1,9/1/12,2012-09,2012-Q3,2012,7/9/08,7/9/08
Zonare Medical Systems,http://www.zonare.com, Health Care ,"45,693,276",acquired,USA,CA,SF Bay Area,Mountain View,3,1/1/99,1999-01,1999-Q1,1999,2/21/08,11/18/10
Zonbo Media,http://www.zonbo.com.cn, News , -   ,operating,CHN,,Beijing,Beijing,3,,,,,1/1/03,3/1/07
Zonder,http://www.zonder.com, E-Commerce ,"1,200,000",operating,USA,UT,Salt Lake City,Lehi,1,,,,,1/1/07,1/1/07
Zondle,http://www.zondle.com, Education , -   ,operating,,,,,1,1/1/11,2011-01,2011-Q1,2011,10/1/11,10/1/11
Zoned Nutrition,http://www.zonednutrition.com, Hospitality , -   ,operating,USA,OR,"Salem, Oregon",Salem,1,1/1/12,2012-01,2012-Q1,2012,1/6/14,1/6/14
Zones,http://zones.com, E-Commerce ,"700,000",operating,USA,WA,Seattle,Auburn,1,1/1/88,1988-01,1988-Q1,1988,4/2/09,4/2/09
Zong,http://www.zong.com, Payments ,"15,000,000",acquired,CHE,,Geneva,Geneva,1,11/15/00,2000-11,2000-Q4,2000,4/26/10,4/26/10
Zonit Structured Solutions,http://www.zonit.com, Web Hosting ,"500,000",operating,USA,CO,Denver,Boulder,1,,,,,3/17/11,3/17/11
Zonoff,http://www.zonoff.com, Home Automation ,"3,800,000",operating,USA,PA,Philadelphia,Malvern,1,5/1/11,2011-05,2011-Q2,2011,4/19/13,4/19/13
Zoobe,http://www.zoobe.com, Games ,"1,286,600",operating,DEU,,Berlin,Berlin,1,8/24/10,2010-08,2010-Q3,2010,5/30/13,5/30/13
Zoobean,http://www.zoobean.com, Curated Web ,"1,242,619",operating,USA,VA,"Washington, D.C.",Arlington,3,1/1/12,2012-01,2012-Q1,2012,6/11/13,4/23/14
Zoodak,http://zoodak.com, Finance ,"580,000",closed,USA,CA,SF Bay Area,San Ramon,1,4/1/08,2008-04,2008-Q2,2008,8/1/09,8/1/09
Zoodig,http://www.zoodig.com, Advertising , -   ,operating,USA,CA,SF Bay Area,Sunnyvale,1,1/1/11,2011-01,2011-Q1,2011,7/1/11,7/1/11
Zoodles,http://www.zoodles.com, Games ,"2,600,000",operating,USA,CA,SF Bay Area,Mountain View,1,1/1/08,2008-01,2008-Q1,2008,5/12/10,5/12/10
zoojoo.BE,http://www.zoojoo.be, Software , -   ,,IND,,Bangalore,Bangalore,1,1/1/12,2012-01,2012-Q1,2012,5/15/14,5/15/14
Zookal,http://www.zookal.com, E-Commerce ,"2,060,000",,AUS,,Sydney,Sydney,3,3/1/11,2011-03,2011-Q1,2011,12/1/11,9/30/13
Zoom,http://www.zoomcar.in, Consumers ,"1,600,000",operating,IND,,Bangalore,Bangalore,1,,,,,10/4/13,10/4/13
Zoom,http://zoom.us, Collaboration ,"15,500,000",operating,USA,CA,SF Bay Area,Santa Clara,3,6/1/11,2011-06,2011-Q2,2011,6/1/11,9/24/13
Zoom Media & Marketing - United States,http://www.zoommedia.com, Advertising ,"30,000,000",operating,USA,NY,New York City,New York,1,1/1/91,1991-01,1991-Q1,1991,3/1/09,3/1/09
ZOOM Technologies,http://zoom.com, Mobile ,"7,926,240",operating,USA,NY,New York City,New York,1,,,,,12/22/10,12/22/10
Zoom Telephonics,http://www.zoomtel.com, Web Hosting ,"1,000,000",operating,USA,MA,Boston,Boston,1,,,,,4/12/12,4/12/12
ZOOM TV,http://zoom.re/en, Internet ,"150,000",operating,,,,,1,2/3/13,2013-02,2013-Q1,2013,9/29/13,9/29/13
Zoomaal,http://www.zoomaal.com, Curated Web , -   ,operating,,,,,1,7/15/12,2012-07,2012-Q3,2012,7/15/12,7/15/12
Zoomabet,http://www.zoomabet.com, Gambling , -   ,operating,USA,NY,New York City,New York,1,1/1/06,2006-01,2006-Q1,2006,1/1/06,1/1/06
Zoombu,http://www.zoombu.co.uk, Search , -   ,acquired,GBR,,London,London,2,7/1/08,2008-07,2008-Q3,2008,12/1/08,6/2/09
ZoomCar India,http://www.zoomcar.in, Automotive ,"2,900,000",operating,IND,,Bangalore,Bangalore,3,1/1/12,2012-01,2012-Q1,2012,4/1/13,4/15/14
ZoomCare,http://www.zoomcare.com, Health and Wellness , -   ,operating,USA,OR,"Portland, Oregon",Hillsboro,1,5/15/06,2006-05,2006-Q2,2006,7/8/14,7/8/14
Zoomdata,http://www.zoomdata.com, Big Data Analytics ,"22,200,000",operating,USA,VA,"Washington, D.C.",Reston,3,9/1/12,2012-09,2012-Q3,2012,11/13/12,10/6/14
ZoomForth,http://zoomforth.com, Web Development ,"1,300,000",operating,USA,CA,SF Bay Area,San Francisco,1,1/1/12,2012-01,2012-Q1,2012,7/3/14,7/3/14
Zoomin.com,http://www.zoomin.com, Curated Web ,"21,500,000",operating,IND,,Mumbai,Mumbai,3,5/1/07,2007-05,2007-Q2,2007,1/1/08,8/29/14
ZoomInfo,http://www.zoominfo.com, Sales and Marketing ,"7,000,000",operating,USA,MA,Boston,Waltham,1,2/1/00,2000-02,2000-Q1,2000,7/1/04,7/1/04
Zoomingo,http://www.zoomingo.com, Games ,"2,475,000",operating,USA,WA,Seattle,Bellevue,2,1/1/00,2000-01,2000-Q1,2000,11/1/13,11/5/13
Zoomio Holding,http://www.zoomio.com, Software ,"7,130,000",acquired,DNK,,Copenhagen,Copenhagen,1,1/1/02,2002-01,2002-Q1,2002,12/19/07,12/19/07
Zoomorama,http://www.zoomorama.com, Curated Web ,"2,150,110",closed,FRA,,Paris,Paris,2,,,,,4/1/07,6/1/08
Zoomph,http://www.zoomph.com, Social Media ,"500,000",,USA,VA,"Washington, D.C.",Reston,1,1/1/11,2011-01,2011-Q1,2011,1/1/12,1/1/12
ZoomSafer,http://www.zoomsafer.com, Mobile ,"3,350,000",acquired,USA,VA,"Washington, D.C.",Herndon,4,1/1/09,2009-01,2009-Q1,2009,3/1/09,3/7/11
zoomsquare,http://www.zoomsquare.com, Real Estate , -   ,operating,AUT,,Vienna,Vienna,1,1/1/12,2012-01,2012-Q1,2012,2/23/14,2/23/14
ZoomSystems,http://www.zoomsystems.com, Hardware + Software ,"87,000,000",operating,USA,CA,SF Bay Area,San Francisco,5,1/1/02,2002-01,2002-Q1,2002,7/19/05,1/14/10
ZoomTilt,http://www.zoomtilt.com, Digital Media ,"88,000",operating,USA,MA,Boston,Cambridge,1,,,,,2/28/13,2/28/13
Zoomy,http://zoomy.co.nz, Travel , -   ,operating,NZL,,Auckland,Auckland,1,1/1/13,2013-01,2013-Q1,2013,1/23/14,1/23/14
Zoona,http://www.mtzl.net, Mobile ,"4,000,000",operating,,,,,1,,,,,3/2/12,3/2/12
Zoondy,http://zoondy.com, Curated Web ,"75,000",operating,USA,CA,Los Angeles,Los Angeles,1,9/4/12,2012-09,2012-Q3,2012,1/2/13,1/2/13
Zooomr,http://zooomr.com, Photography ,"50,000",closed,USA,CA,SF Bay Area,San Francisco,1,3/1/06,2006-03,2006-Q1,2006,2/1/06,2/1/06
Zoop,http://getzoop.com, Mobile Payments ,"750,000",operating,USA,DE,"Wilmington, Delaware",Wilmington,1,5/1/12,2012-05,2012-Q2,2012,11/10/13,11/10/13
Zoopla,http://www.zoopla.co.uk, Property Management ,"13,387,373",operating,GBR,,London,London,3,6/1/07,2007-06,2007-Q2,2007,1/1/07,12/23/10
Zooplus,http://www.zooplus.de, Trading , -   ,operating,DEU,,Muenchen,Muenchen,1,1/1/99,1999-01,1999-Q1,1999,1/1/00,1/1/00
Zooppa,http://zooppa.com, Video , -   ,operating,USA,WA,Seattle,Seattle,1,1/1/07,2007-01,2007-Q1,2007,2/1/07,2/1/07
ZoopShop,http://zoopshop.com, Software ,"20,000",operating,USA,OH,"Columbus, Ohio",Columbus,2,2/15/12,2012-02,2012-Q1,2012,2/15/12,1/17/13
Zoosk,http://www.zoosk.com, Social Media ,"61,600,000",operating,USA,CA,SF Bay Area,San Francisco,6,11/1/07,2007-11,2007-Q4,2007,3/1/07,1/1/12
Zootcard,http://www.zootcard.com, Curated Web ,"750,000",operating,,,,,1,6/1/12,2012-06,2012-Q2,2012,6/26/14,6/26/14
ZootRock,http://www.zootrock.com, B2B ,"110,000",operating,USA,CA,SF Bay Area,San Francisco,1,1/1/13,2013-01,2013-Q1,2013,4/14/14,4/14/14
Zoove,http://zoove.com, Mobile ,"59,139,710",acquired,USA,NY,New York City,New York,7,3/1/04,2004-03,2004-Q1,2004,6/20/06,3/5/14
Zooz Mobile Ltd.,http://www.zooz.com, Developer APIs ,"16,500,000",operating,ISR,,Tel Aviv,Ra'anana,3,6/2/10,2010-06,2010-Q2,2010,11/1/11,7/16/14
Zopa,http://www.zopa.com, Finance ,"56,628,771",operating,GBR,,London,London,6,3/1/05,2005-03,2005-Q1,2005,1/1/05,1/29/14
Zopim,http://www.zopim.com, Chat ,"392,000",acquired,SGP,,Singapore,Singapore,3,1/1/08,2008-01,2008-Q1,2008,9/1/07,10/5/10
Zorap,http://www.zorap.com, Music ,"2,251,000",closed,USA,ME,"Portland, Maine",Falmouth,2,4/21/08,2008-04,2008-Q2,2008,11/1/09,10/18/10
"Zorilla Research, LLC",http://www.zorillaresearch.com,, -   ,operating,,,,,1,8/1/13,2013-08,2013-Q3,2013,6/1/14,6/1/14
Zosano Pharma,http://zosanopharma.com, Biotechnology ,"142,355,891",operating,USA,CA,SF Bay Area,Fremont,7,10/1/06,2006-10,2006-Q4,2006,11/15/07,3/5/14
Zostel,http://zostel.com/, E-Commerce ,"1,000,000",operating,,,,,1,8/1/13,2013-08,2013-Q3,2013,5/13/14,5/13/14
Zounds,http://www.zoundshearing.com, Email ,"32,166,307",operating,USA,AZ,Phoenix,Phoenix,3,1/1/05,2005-01,2005-Q1,2005,2/14/07,11/9/11
Zounds Hearing Aids,http://zoundsmiddletown.com/, Health Care ,"10,000,000",operating,USA,AZ,Phoenix,Tempe,1,,,,,5/22/14,5/22/14
Zoutons,http://zoutons.com, E-Commerce ,"3,300,000",operating,IND,,New Delhi,New Delhi,1,1/1/13,2013-01,2013-Q1,2013,9/6/13,9/6/13
Zouxiu,http://www.xiu.com/, E-Commerce ,"120,000,000",operating,,,,,2,,,,,3/1/11,8/1/11
Zova,http://www.zova.com, Sports , -   ,operating,AUS,,Brisbane,Brisbane,1,9/1/13,2013-09,2013-Q3,2013,8/1/13,8/1/13
ZoweeTV,http://www.zoweetv.com, Games ,"900,000",operating,,,,,1,,,,,1/1/12,1/1/12
ZowPow,http://zowpow.com, Games , -   ,operating,USA,CA,SF Bay Area,San Francisco,1,,,,,1/1/14,1/1/14
Zoyi,http://zoyi.co/, Advertising ,"650,000",operating,KOR,,Seoul,Seoul,1,10/25/10,2010-10,2010-Q4,2010,9/1/11,9/1/11
ZOZI,http://www.zozi.com, Travel ,"21,300,000",operating,USA,CA,SF Bay Area,San Francisco,4,1/1/07,2007-01,2007-Q1,2007,8/1/08,4/4/13
zPerfectGift,, Social Media ,"25,000",operating,USA,UT,Salt Lake City,Midvale,1,1/1/10,2010-01,2010-Q1,2010,9/26/12,9/26/12
ZPower,http://www.zmp.com, Clean Technology ,"133,437,465",operating,USA,CA,Santa Barbara,Camarillo,8,1/1/96,1996-01,1996-Q1,1996,10/12/04,5/28/14
