name,homepage_url, market , funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at
Zbird,http://www.zbird.com, E-Commerce ,"80,000,000",operating,CHN,,CHN - Other,,3,1/1/02,2002-01,2002-Q1,2002,6/1/07,3/1/11
Zdorovio,http://zdorovio.com, Personal Health , -   ,operating,RUS,,Moscow,Moscow,1,4/28/14,2014-04,2014-Q2,2014,5/1/14,5/1/14
Ze Frank Games,http://zefrank.com, Games ,"1,256,139",operating,USA,CA,Los Angeles,Los Angeles,2,1/1/10,2010-01,2010-Q1,2010,7/15/10,4/26/12
Ze-gen,http://www.ze-gen.com, Renewable Energies ,"17,600,000",operating,USA,MA,Boston,Boston,1,1/1/04,2004-01,2004-Q1,2004,2/10/10,2/10/10
ZeaChem,http://www.zeachem.com, Clean Technology ,"44,000,000",operating,USA,CO,Denver,Lakewood,2,1/1/02,2002-01,2002-Q1,2002,12/7/09,2/14/12
ZeaKal,http://www.zeakal.com,,"3,800,000",operating,USA,CA,San Diego,San Diego,1,1/1/10,2010-01,2010-Q1,2010,3/26/13,3/26/13
ZealCore Embedded Solutions,, Software ,"1,540,000",operating,SWE,,Stockholm,V_ster‘s,1,1/1/01,2001-01,2001-Q1,2001,3/14/06,3/14/06
ZEALER,http://www.zealer.com, News ,"314,795",operating,CHN,,Shenzhen,Shenzhen,1,,,,,7/1/12,7/1/12
Zealify,http://www.zealify.com, Recruiting ,"96,984",operating,GBR,,London,London,4,6/1/13,2013-06,2013-Q2,2013,6/12/13,12/4/13
zealot network,http://zealotnetworks.com/,,"25,000,000",operating,,,,,1,,,,,8/4/14,8/4/14
ZeaVision,http://www.zeavision.com/, Pharmaceuticals ,"3,000,000",operating,USA,MO,St. Louis,Chesterfield,1,1/1/00,2000-01,2000-Q1,2000,10/1/14,10/1/14
ZEB,, E-Commerce ,"10,871,040",operating,BEL,,BEL - Other,Anth_e,1,,,,,1/7/10,1/7/10
Zebit,, Finance ,"55,000,000",operating,GBR,,London,London,2,1/1/11,2011-01,2011-Q1,2011,5/24/12,7/8/13
Zebra Biologics,http://zebrabiologics.com, Biotechnology ,"9,000,170",operating,USA,MA,Boston,Concord,1,1/1/13,2013-01,2013-Q1,2013,11/8/13,11/8/13
Zebra Digital Assets,http://www.zebrada.com, Software ,"200,002",operating,USA,UT,Salt Lake City,Sandy,1,,,,,6/20/12,6/20/12
Zebra Imaging,http://www.zebraimaging.com, Games ,"12,069,628",,USA,TX,Austin,Austin,3,1/1/96,1996-01,1996-Q1,1996,4/19/11,5/6/14
Zebra Mobile,,, -   ,operating,,,,,1,,,,,4/18/08,4/18/08
Zebra Technologies,http://www.zebra.com, Enterprise Software ,"2,000,000,000",operating,USA,IL,Chicago,Lincolnshire,1,1/1/91,1991-01,1991-Q1,1991,9/16/14,9/16/14
Zebtab,http://www.zebtab.com, Video ,"280,000",closed,GBR,,London,London,1,8/1/05,2005-08,2005-Q3,2005,4/28/07,4/28/07
Zecco,http://www.zecco.com, Brokers ,"35,000,000",operating,,,,,3,7/4/06,2006-07,2006-Q3,2006,1/1/06,11/1/07
zEconomy,http://www.zeconomy.com/, Marketplaces ,"1,550,000",operating,USA,CA,Los Angeles,Culver City,1,,,,,6/18/14,6/18/14
Zecter,http://www.zecter.com, Storage ,"2,515,000",acquired,USA,CA,SF Bay Area,Burlingame,3,6/1/07,2007-06,2007-Q2,2007,6/1/07,12/14/09
Zedmo,http://zedmo.com, Location Based Services , -   ,operating,CAN,BC,Vancouver,Vancouver,1,,,,,1/1/09,1/1/09
Zee Learn,http://zeelearn.com, Education ,"20,000,000",operating,IND,,Mumbai,Mumbai,1,1/1/10,2010-01,2010-Q1,2010,5/21/13,5/21/13
Zeebo,http://www.zeeboinc.com, Emerging Markets ,"25,000,000",operating,USA,CA,San Diego,San Diego,2,1/1/07,2007-01,2007-Q1,2007,5/27/10,8/29/11
ZEEF.com,https://ZEEF.com, Reviews and Recommendations ,"2,902,555",operating,NLD,,Amsterdam,Amsterdam,3,1/1/13,2013-01,2013-Q1,2013,1/1/13,9/23/14
Zeel,http://www.zeel.com, Mobile ,"1,500,000",operating,USA,NY,New York City,New York,1,11/1/10,2010-11,2010-Q4,2010,1/9/12,1/9/12
Zeenoh,http://www.zeenoh.com, Games ,"105,000",operating,PHL,,Manila,Mandaluyong,2,9/4/08,2008-09,2008-Q3,2008,9/4/08,6/16/12
Zeenshare,http://zeenshare.com/index, File Sharing ,"360,000",operating,FRA,,Paris,Paris,1,2/11/10,2010-02,2010-Q1,2010,2/27/13,2/27/13
zeenworld,http://zeenworld.com,,"12,023",operating,,,,,2,2/5/11,2011-02,2011-Q1,2011,2/2/11,3/3/11
ZeePearl,http://www.zeepearl.com, Health Care ,"42,500",operating,MYS,,Kuala Lumpur,Petaling Jaya,1,2/5/08,2008-02,2008-Q1,2008,1/1/08,1/1/08
Zeer,http://www.zeer.com, Hospitality ,"1,050,000",closed,USA,MA,Boston,Cambridge,1,6/1/07,2007-06,2007-Q2,2007,8/1/07,8/1/07
Zeetl,http://zeetl.com, Telephony , -   ,acquired,CAN,BC,Vancouver,Vancouver,1,3/1/13,2013-03,2013-Q1,2013,9/1/13,9/1/13
ZeeVee,http://zeevee.com, Hardware + Software , -   ,operating,,,,,1,,,,,5/5/08,5/5/08
zeeWAVES,http://www.zeewaves.com,, -   ,operating,USA,CO,Colorado Springs,Colorado Springs,1,,,,,5/5/05,5/5/05
ZeeWhere,http://www.zeewhere.com, Augmented Reality ,"41,332",operating,SAU,,Riyadh,Riyadh,1,1/1/13,2013-01,2013-Q1,2013,10/1/13,10/1/13
Zefanclub,http://www.zefanclub.com, Social Media ,"1,000,000",closed,FRA,,Paris,Paris,1,1/1/08,2008-01,2008-Q1,2008,1/1/08,1/1/08
ZEFR,http://www.ZEFR.com, Entertainment ,"60,062,378",operating,USA,CA,Los Angeles,Venice,7,12/2/09,2009-12,2009-Q4,2009,11/3/09,2/26/14
Zeis Excelsa,, Fashion ,"26,148,000",operating,,,,,1,,,,,12/28/11,12/28/11
Zelgor,http://www.zelgor.com, Games ,"250,000",operating,USA,MA,Boston,Cambridge,1,1/1/11,2011-01,2011-Q1,2011,8/1/12,8/1/12
Zeligsoft,http://www.zeligsoft.com, Software ,"7,290,000",operating,CAN,QC,Gatineau,Gatineau,2,1/1/02,2002-01,2002-Q1,2002,1/12/05,7/23/07
Zelnas,http://zelnas.com/,,"704,000",,,,,,1,,,,,9/2/13,9/2/13
Zelos Therapeutics,http://zelostherapeutics.com, Biotechnology ,"5,215,731",operating,USA,PA,Philadelphia,Conshohocken,3,,,,,3/3/09,8/17/11
Zelosport,http://zelosport.com, Sports ,"2,495,350",operating,USA,GA,"Columbus, Georgia",Columbus,2,1/1/04,2004-01,2004-Q1,2004,2/6/10,1/5/11
